partida_id,clube,cartao,atleta,posicao,minuto
5018,Coritiba,Amarelo,Rosinei,Meio-campo,70
5018,Coritiba,Amarelo,Paulinho Moccelin,,46
5018,Avai,Amarelo,Renan Martins Pereira,Meio-campo,60
5018,Avai,Amarelo,Romário Guilherme dos Santos,Zagueiro,35
5019,Athletico-PR,Amarelo,Natanael Batista Pimenta,Zagueiro,88
5019,Athletico-PR,Amarelo,Nikão,Meio-campo,60
5017,Chapecoense,Vermelho,Apodi,Zagueiro,62
5017,Ponte Preta,Amarelo,Renato Cajá,Meio-campo,90+2
5017,Ponte Preta,Amarelo,Diego Oliveira,Atacante,65
5017,Chapecoense,Amarelo,Apodi,Zagueiro,62
5018,Coritiba,Amarelo,Leandro Almeida,Zagueiro,79
5018,Coritiba,Amarelo,Hélder,Meio-campo,57
5018,Avai,Amarelo,Emerson dos Santos da Silva,Zagueiro,89
5018,Avai,Amarelo,Vagner Antônio Brandalise,Goleiro,45+2
5019,Athletico-PR,Amarelo,Ytalo José dos Santos,,88
5019,Athletico-PR,Amarelo,Hernani Azevedo Junior,Meio-campo,75
5020,Sport,Amarelo,Neto,Meio-campo,69
5021,Goias,Amarelo,Wesley,Atacante,60
5022,Vasco,Amarelo,Yago Moreira Silva,,88
5022,Vasco,Amarelo,Rafael Silva dos Santos,Meio-campo,62
5023,Corinthians,Amarelo,Edílson Mendes Guimarães,,73
5023,Corinthians,Amarelo,Renato Augusto,Meio-campo,47
5023,Palmeiras,Amarelo,Kelvin Mateus de Oliveira,Atacante,84
5023,Palmeiras,Amarelo,Lucas Rios Marques,Zagueiro,67
5023,Palmeiras,Amarelo,Arouca,Meio-campo,18
5024,Internacional,Amarelo,Anderson Luís de Abreu Oliveira,Meio-campo,56
5024,Sao Paulo,Amarelo,Reinaldo Manoel da Silva,Zagueiro,21
5025,Flamengo,Amarelo,Héctor Canteros,Meio-campo,85
5025,Flamengo,Amarelo,Víctor Cáceres,Meio-campo,44
5025,Flamengo,Amarelo,Marcos Rogério Ricci Lopes,Zagueiro,7
5025,Fluminense,Amarelo,Wagner Ferreira dos Santos,Meio-campo,55
5026,Figueirense,Amarelo,Marcos Assis de Santana,Atacante,89
5026,Figueirense,Amarelo,Marcos Roberto da Silva Barbosa,Zagueiro,32
5026,Cruzeiro,Amarelo,Mayke,Zagueiro,56
5026,Cruzeiro,Amarelo,Willian Gomes de Siqueira,Meio-campo,33
5026,Cruzeiro,Amarelo,Willians Domingos Fernandes,Meio-campo,10
5025,Flamengo,Vermelho,Héctor Canteros,Meio-campo,90+1
5026,Cruzeiro,Vermelho,Willians Domingos Fernandes,Meio-campo,71
5020,Santos,Amarelo,David Braz,Zagueiro,84
